,Lengths,Names,,,,,,,Totaal,Percentage
0,80.00241098,0_00081fefb9485dc2ef642cc300390813.mid,,,,,,,370,3%
1,173.4423828,0_000c923c18c62332503050809ea3eb8f.mid,,,,,,,,
2,33.95899643,0_001d789d86a9139c710af589a7a5f134.mid,,,,,,,,
3,24.37496344,0_00320bf9cdaa0dba4ea9511f2dd34add.mid,,,,,,,,
4,75.43100895,0_007e052394dee52b75d6a5cf1ed0d561.mid,,,,,,,,
5,39.53086259,0_0084f24a33858700ce34c5bc86844102.mid,,,,,,,,
6,90.56681432,0_00d0e5fb338b09bb6853377f7e751995.mid,,,,,,,,
7,512.0166667,0_00da4460e2d517d24c985946ba9e9045.mid,,,,,,,,
8,139.4565938,0_010454730c655bfa1ce49c4d54fd3ee0.mid,,,,,,,,
9,35.17500293,0_010573afaf6fbf8bd546ef513d69aaef.mid,,,,,,,,
10,44.38935689,0_011780bd467da8e85119f9da5a8315fe.mid,,,,,,,,
11,178.1900721,0_01188df4d1f3017240f432bfd0f814f2.mid,,,,,,,,
12,43.75130208,0_019408175541333386acae8be484329e.mid,,,,,,,,
13,186.6734244,0_01b5b401a98fa77f45b25063c7cdaeb3.mid,,,,,,,,
14,170.0052083,0_01c6975cb2da66aafdbe496a88c7b550.mid,,,,,,,,
15,43.96674698,0_0216b426b13fc73efc74b7813a6cfd93.mid,,,,,,,,
16,141.9788023,0_02434bce84876ee9ddad926942aa1736.mid,,,,,,,,
17,576.0166667,0_0264f593fa713323b2248e37c04a8d11.mid,,,,,,,,
18,38.27671457,0_026d97b72a5b6ea690c81fff8f4344c9.mid,,,,,,,,
19,300.0101167,0_0274a48bbb23939c8b2eb9d1279264b6.mid,,,,,,,,
20,49.5665637,0_027dcfec37f814ae39ff710b6ce99384.mid,,,,,,,,
21,39.74583333,0_02c9c7415fde0592a87e67d02898b938.mid,,,,,,,,
22,147.6970957,0_02d2e4b31a02f77df7e24bb46c8daf98.mid,,,,,,,,
23,176.0835296,0_02d7b946ff29af81b4aa5d97147c3db0.mid,,,,,,,,
24,37.50202013,0_02f5f78133ef3a04f1fb236de7d1beff.mid,,,,,,,,
25,592.0166667,0_030691c1bdd2302e2e3a4de44e4c477e.mid,,,,,,,,
26,43.33444741,0_030f057c7015b8ca008036932799e0c6.mid,,,,,,,,
27,145.269795,0_0321979a0dc024338c33f8f16ddc57f8.mid,,,,,,,,
28,45.88403823,0_03443fb9805e3ea2175613ba2c3a411f.mid,,,,,,,,
29,41.9128689,0_034c6fc841d57c38f6a7c26ab7946395.mid,,,,,,,,
30,40.66738545,0_035e28b66e3158c44289bea18790a63e.mid,,,,,,,,
31,45.86019521,0_036541d18d310d2d3d782e9ec84410b0.mid,,,,,,,,
32,45.00218714,0_036f35e6dd1dbbdc59577067e86bac0f.mid,,,,,,,,
33,188.9295081,0_03907fb1cf65fdd04a8532349279c4c5.mid,,,,,,,,
34,76.10057678,0_03c40d86e31d2338098c9def708e6930.mid,,,,,,,,
35,44.19705757,0_03c4a5731d43b99ad744e3fb1cda3716.mid,,,,,,,,
36,43.46559146,0_03faed737f81ee12366a3e02a9fce5c7.mid,,,,,,,,
37,95.77153884,0_0414710efda764c71e10a26444354b39.mid,,,,,,,,
38,39.85621014,0_0451f3dec095b8599205fd81888b87ec.mid,,,,,,,,
39,50.42739613,0_0465bb32b04843e1deaf8ed89e47152b.mid,,,,,,,,
40,72.00833333,0_046abf3d1903945940bd4d9c6a5a946e.mid,,,,,,,,
41,138.00625,0_047659e5764f1f1b666febc1737a6360.mid,,,,,,,,
42,69.28096132,0_0485eee0f1f752d3340ee68cdc026b73.mid,,,,,,,,
43,143.9996752,0_048c892547bab5b317fbd33f0417dd19.mid,,,,,,,,
44,101.4154423,0_049b9b0623af506f124b17238adfa757.mid,,,,,,,,
45,87.50260417,0_04a5f6d6a1ff9af7964e4daedecca677.mid,,,,,,,,
46,137.7152259,0_04b08166c8364f160a47dc5a31e1167e.mid,,,,,,,,
47,39.27463898,0_04b395e2385c53609beeba80ca942a1d.mid,,,,,,,,
48,30.61329436,0_04c261d5b076d50687b5e9cba1f6ac23.mid,,,,,,,,
49,47.43718547,0_04eb72fed7be9692f4359159298fe467.mid,,,,,,,,
50,38.75104167,0_050ee7f538a3e14b0113e4d551d052e5.mid,,,,,,,,
51,141.9788023,0_0534f544cbd2a664cae30a9ab49406ea.mid,,,,,,,,
52,103.3797534,0_05705e1880c862ca7f4d44137432fa9c.mid,,,,,,,,
53,38.161,0_058916c3778b0a227e4621c3ab9bbf93.mid,,,,,,,,
54,124.445427,0_059df3862859fa201b83cf1fbdcd8c11.mid,,,,,,,,
55,44.00208333,0_05a6a5464fe7145fcdf8cbe59d892a7d.mid,,,,,,,,
56,40.00094426,0_05ad23fb33793f7eb3213f3453d0a37f.mid,,,,,,,,
57,150.0052083,0_05c0678c1e2851a836888763fa917ed5.mid,,,,,,,,
58,187.4900824,0_05ce0535540efe019ec4ebcd5ca312d5.mid,,,,,,,,
59,169.4034481,0_05de6e76380767a4a54abedbd6eb857f.mid,,,,,,,,
60,47.23512316,0_05e612a1e536bc966916b8f50166353b.mid,,,,,,,,
61,25.72087382,0_06226b041518f9970151475af05383b5.mid,,,,,,,,
62,121.437356,0_062ea3f1012ba0e265dc1b12876f4509.mid,,,,,,,,
63,16.16584922,0_063987dbcdd688a2556f795170eacf5c.mid,,,,,,,,
64,91.14185713,0_063bb75a10bd401d3d7beaa97cecd738.mid,,,,,,,,
65,28.00691644,0_06609accf02d200ffebc02f6c99b2e71.mid,,,,,,,,
66,38.14406172,0_06b91cd55829e0376e51fe3bdf443a8c.mid,,,,,,,,
67,132.00625,0_06bc5e5ecc4694e7f463f7eb42c87eb9.mid,,,,,,,,
68,43.75130208,0_06d6091d4ac191a7628061acc459c276.mid,,,,,,,,
69,47.95939291,0_06e7c3e2bb311634ae2fe6537a5bee0b.mid,,,,,,,,
70,34.43265788,0_071194da572e01b373ad0b781ba4cc6c.mid,,,,,,,,
71,70.86846063,0_0717bda0dd44bcec74a1ad39aa42c3bd.mid,,,,,,,,
72,126.1060373,0_072808f09f22a17ef720f2b3353aa584.mid,,,,,,,,
73,37.78169299,0_074a0ad692d0b8b570cd35ec912bd829.mid,,,,,,,,
74,160.0056662,0_075d3f1ae6582c5504f92be6e216a5ec.mid,,,,,,,,
75,46.5015625,0_07ac47f09b22d406c9a6a07ac6b0ffd4.mid,,,,,,,,
76,87.10173032,0_07c6c1deb2f2e1ef5c583714e08add64.mid,,,,,,,,
77,38.75104167,0_07e75542cc7fd861b0bf6c7a248643fe.mid,,,,,,,,
78,93.33671222,0_083b1d0b801aae8621b9932de7b911a2.mid,,,,,,,,
79,44.87317297,0_08548ae294e0f8f0aa6fde2ba0454026.mid,,,,,,,,
80,148.1914357,0_0887e2a0829d94ebf01c0b6511ec9032.mid,,,,,,,,
81,41.66798609,0_091d5fe3622c30cc8e8e6f1541baba29.mid,,,,,,,,
82,164.4290646,0_0960a5db5c5b8b7d538eb42ec47b6217.mid,,,,,,,,
83,40.00134889,0_099626e861d8db6a40e1aea94c47e75a.mid,,,,,,,,
84,65.13291656,0_09ac3f7ad09f611f24b3fd8e484c7bbd.mid,,,,,,,,
85,156.5269548,0_09c9ca344cfeef35b7f8f9604383fdd6.mid,,,,,,,,
86,98.11504541,0_09d3ebe900c43f2281a9cc10869b56a7.mid,,,,,,,,
87,21.10108168,0_0a29dd89218bf6ec91192d22735914b5.mid,,,,,,,,
88,39.64371036,0_0a3664d6d519ad533e3e0a96fae6aaa2.mid,,,,,,,,
89,42.85798807,0_0a4f407133e4bb01c5da34e5de09cded.mid,,,,,,,,
90,94.38359561,0_0a539b92ed05e7bd9dc5dde673b4ff29.mid,,,,,,,,
91,156.5269548,0_0a54bd78d60edcc5bde327c7cca8c081.mid,,,,,,,,
92,181.2565104,0_0a5c9a01c9997d58c2f373d8ce84f48d.mid,,,,,,,,
93,105.6927152,0_0a8731cb0e7c60794ea283824e1784ce.mid,,,,,,,,
94,34.62277438,0_0a96f7d5eec348a16c7c3926d462d659.mid,,,,,,,,
95,39.99677543,0_0ab06f6a0a3e1718de98bacf5560811e.mid,,,,,,,,
96,85.02252,0_0ac00ceed90cf0f4ce5b65929f896c5a.mid,,,,,,,,
97,37.28586561,0_0ac5f7796ec480bb76931143fbc61267.mid,,,,,,,,
98,141.6476047,0_0ad6c6e17b04acf380324189916db80a.mid,,,,,,,,
99,139.4564023,0_0b64f56dfc44c20ec7e4af378586738b.mid,,,,,,,,
100,150.0052083,0_0b6e79c12a1becd3605ecb378f1d9f7f.mid,,,,,,,,
101,141.9788023,0_0c158b3832bb8a2d19304302496274a9.mid,,,,,,,,
102,43.92964357,0_0c3c01c77b9f67c96b2d664a2791d669.mid,,,,,,,,
103,38.00104167,0_0c7f354dfce21143393a07c6d1403099.mid,,,,,,,,
104,129.4178274,0_0d08b0c67bda6e899dd901ddc2f70976.mid,,,,,,,,
105,195.0052083,0_0d0bbede360f05c46e613c48945a2d81.mid,,,,,,,,
106,25.69554847,0_0d1995cb0b1250ad7ab20e225298f021.mid,,,,,,,,
107,41.13021008,0_0da062af9096dc9b11769eb8f43015f2.mid,,,,,,,,
108,146.943902,0_0dae3004d88850bf863bbdc9767527ba.mid,,,,,,,,
109,136.4263272,0_0dbb0aaf4504f0e28928d058537293a6.mid,,,,,,,,
